Masalah_Kulit,Ingredient,Efek Samping
Bopeng,Walnut Shell,
Bopeng,Apricot Pit,
Bopeng,Large Sugar,
Bopeng,Salt Granules,
Kemerahan,Alcohol Denat,
Kemerahan,SD Alcohol,
Kemerahan,Parfum,
Kemerahan,Fragrance,
Kemerahan,Witch Hazel,
Kemerahan,Hamamelis Virginiana,
Hiperpigmentasi,Retinol,
Hiperpigmentasi,AHA/BHA,
Hiperpigmentasi,Glycolic,
Hiperpigmentasi,Salicylic Acid,
Hiperpigmentasi,Petroleum Jelly,
Jerawat,Cocos Nucifera Oil,
Jerawat,Coconut Oil,
Jerawat,Mineral Oil,
Jerawat,Petroleum Jelly,
Jerawat,Lanolin,
Jerawat,Isopropyl Myristate,
Jerawat,Isopropyl Palmitate,
Jerawat,Tranexamic Acid,
Kerutan,Alcohol Denat,
Kerutan,SD Alcohol,
Kerutan,Sodium Laureth Sulfate,
